"CSV file for plotted parameters
Date: Fri Aug 18 12:55:26 2023
For EdSimObjectWrapper named 'Scene'

"
"Simulation Time (sec)","Motorcycle.Assembly.Body.Outputs.World Transform Position (x)","Motorcycle.Assembly.Body.Outputs.World Transform Position (y)","Motorcycle.Assembly.Body.Outputs.World Transform Position (z)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (x)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (y)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (z)","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (x) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (y) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (z) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (x) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (y) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (z) ( rad/s² )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Control Force ( N.m )","Motorcycle.Assembly.Rear wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )"
0.98333333,-0.00176713,-1.58032093,-0.17700317,-0.32282117,0.10128631,-0.00332666,-0.60957432,0.00831770,-0.00476057,-51.75577798,-0.23830701,-0.23962603,1.30301630,-1.55205277,6.97981032
1.00000000,-0.00175222,-1.61631743,-0.17508317,-0.23438423,0.10934721,-0.00301625,0.09261154,0.00844284,0.00028400,42.13115135,0.00761319,0.30260531,1.29187848,-1.50321213,6.97982584
1.01666667,-0.00172175,-1.65211029,-0.17586111,-0.05416134,0.11656799,-0.00185214,0.18873138,0.00756463,0.00120000,5.76719009,-0.05269069,0.05495974,1.27753285,-1.81337970,6.97983639
1.03333333,-0.00171833,-1.68753060,-0.17923495,0.30139483,0.12794485,-0.00219534,0.37233678,0.01191459,-0.00033369,11.01632416,0.26100472,-0.09202138,1.26693935,-2.01101639,6.97986299
1.05000000,-0.00169853,-1.72802841,-0.17586698,0.06098439,0.12625494,-0.00926496,-0.25177365,-0.00174626,-0.00740884,-37.44662612,-0.81960915,-0.42450799,1.23244959,-2.80510846,6.97986279
1.06666667,-0.00165597,-1.76851179,-0.17521637,-0.17905347,0.12230446,-0.01616273,-0.25138272,-0.00414437,-0.00721904,0.02345578,-0.14388687,0.01137998,1.21811229,-1.60944849,6.97987905
1.08333333,-0.00148498,-1.80438599,-0.17961190,0.26309611,0.11327363,-0.00815058,0.46303520,-0.00946324,0.00838337,42.86507561,-0.31913639,0.93613822,1.20318576,-1.29408764,6.97991791
1.10000000,-0.00147659,-1.84634707,-0.17543551,-0.00631356,0.11988364,-0.00226130,-0.28211259,0.00690816,0.00618273,-44.70886794,0.98221538,-0.13199401,1.21538618,-0.55195875,6.98008837
1.11666667,-0.00143621,-1.88829133,-0.17397439,-0.27533271,0.12331731,0.00387617,-0.28170256,0.00361151,0.00641827,0.02460228,-0.19778445,0.01413272,1.19577854,-2.19878296,6.98008848
1.13333333,-0.00138888,-1.92422189,-0.17869531,0.19388833,0.12388636,0.00540367,0.49137058,0.00059705,0.00159917,46.38438824,-0.18086106,-0.28914486,1.17727879,-2.06023149,6.98012229
1.15000000,-0.00137233,-1.96550983,-0.17670170,0.06365393,0.13076834,0.00796583,-0.13637519,0.00720075,0.00269927,-37.66474593,0.39621642,0.06602815,1.17025731,-1.85118586,6.98016419
1.16666667,-0.00131680,-2.00679182,-0.17743236,-0.06620227,0.13380640,0.01084819,-0.13597813,0.00318152,0.00301832,0.02382374,-0.24115038,0.01914256,1.14632166,-2.68400441,6.98017400
1.18333333,-0.00129038,-2.04367275,-0.17291534,-0.20047621,0.14149179,0.01151054,-0.14060968,0.00804972,0.00067488,-0.27789317,0.29209351,-0.14060661,1.13278795,-2.48049703,6.98022522
1.20000000,-0.00121765,-2.08054834,-0.17112190,-0.33443335,0.14461634,0.01256007,-0.14027684,0.00327711,0.00108379,0.01997015,-0.28635163,0.02453355,1.10425294,-3.20217307,6.98024431
1.21666667,-0.00113659,-2.11685169,-0.17221409,-0.27498266,0.14892544,0.01584301,0.06226542,0.00453070,0.00341382,12.15253594,0.07521721,0.13980153,1.08356977,-2.94494180,6.98031182
1.23333333,-0.00116149,-2.15255001,-0.17585345,0.07608613,0.16704210,0.01358890,0.36763187,0.01896763,-0.00239342,18.32198698,0.86621585,-0.34843415,1.07380977,-3.24635589,6.98038664
1.25000000,-0.00111180,-2.18822481,-0.18219864,0.42738918,0.17782780,0.01196935,0.36787858,0.01130211,-0.00164634,0.01480174,-0.45986373,0.04481794,1.02789970,-5.15512701,6.98035469
