"CSV file for plotted parameters
Date: Fri Aug 18 13:05:01 2023
For EdSimObjectWrapper named 'Scene'

"
"Simulation Time (sec)","Motorcycle.Assembly.Body.Outputs.World Transform Position (x)","Motorcycle.Assembly.Body.Outputs.World Transform Position (y)","Motorcycle.Assembly.Body.Outputs.World Transform Position (z)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (x)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (y)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (z)","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (x) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (y) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (z) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (x) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (y) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (z) ( rad/s² )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Control Force ( N.m )","Motorcycle.Assembly.Rear wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )"
0.65000000,-0.00194160,-0.83964882,-0.17426955,-0.22851795,-0.05029370,-0.02290355,0.25872986,0.00112058,0.00794474,52.46173971,-1.21798682,-0.05205096,1.05686913,2.04707792,6.98078331
0.66666667,-0.00185751,-0.87569876,-0.17843448,0.01810746,-0.04391409,-0.01575491,0.25825937,0.00669446,0.00747377,-0.02822955,0.33443130,-0.02825034,1.09058320,3.79180907,6.98071666
0.68333333,-0.00186380,-0.91178048,-0.17578277,0.07179704,-0.03757511,-0.01552416,0.05622342,0.00663797,0.00024684,-12.12215715,-0.00338000,-0.43360963,1.11379177,3.14103915,6.98062493
0.70000000,-0.00187430,-0.95049386,-0.17073757,-0.19481448,-0.02501899,-0.01206857,-0.27919690,0.01315262,0.00360458,-20.12521923,0.39087977,0.20146419,1.14234309,2.97915092,6.98046783
0.71666667,-0.00191376,-0.98919631,-0.16840255,-0.46176763,-0.00959685,-0.00884450,-0.27955371,0.01616913,0.00328364,-0.02140841,0.18101785,-0.01926009,1.16048300,2.03709841,6.98033184
0.73333333,-0.00175003,-1.02558078,-0.16997556,-0.31591535,-0.01484476,-0.00112036,0.15273443,-0.00544058,0.00812581,25.93728866,-1.29654885,0.29052444,1.14840184,1.28596617,6.98018711
0.75000000,-0.00161707,-1.06145331,-0.17412507,0.06899760,-0.01745132,0.00511329,0.40307805,-0.00271552,0.00653374,15.02061733,0.16349937,-0.09552095,1.17595776,3.34807626,6.98026839
0.76666667,-0.00153097,-1.09730015,-0.18097224,0.45356970,-0.01543027,0.01096571,0.40272121,0.00208847,0.00613825,-0.02141084,0.28821944,-0.02370694,1.20486005,3.24636259,6.98032839
0.78333333,-0.00151364,-1.14053284,-0.17683098,-0.02618548,-0.01155191,0.00937151,-0.50239806,0.00406762,-0.00165429,-54.30715613,0.11875031,-0.46753389,1.22785694,2.81597611,6.98034932
0.80000000,-0.00150144,-1.17674666,-0.17210817,-0.07768303,-0.01208250,0.00960778,-0.05392815,-0.00055541,0.00024793,26.90819420,-0.27734514,0.11410754,1.24205190,2.55414309,6.98030933
0.81666667,-0.00153276,-1.21295996,-0.17010785,-0.12935085,-0.00834129,0.00946916,-0.05410639,0.00391752,-0.00015225,-0.01069403,0.26837564,-0.02401062,1.26886177,3.00983894,6.98027255
0.83333333,-0.00160079,-1.24917227,-0.17083032,-0.18114114,-0.00099601,0.00901657,-0.05423463,0.00769065,-0.00049478,-0.00769455,0.22638805,-0.02055226,1.29149320,2.54104033,6.98019983
0.85000000,-0.00169768,-1.28538312,-0.17427591,-0.23300624,0.00918734,0.00832192,-0.05431306,0.01066129,-0.00076597,-0.00470545,0.17823917,-0.01627143,1.30934478,2.00506020,6.98009743
0.86666667,-0.00182398,-1.31928532,-0.18138059,0.19329639,0.02049162,0.00205359,0.44642136,0.01183556,-0.00656830,30.04406512,0.07045714,-0.34813973,1.32102035,1.43352971,6.97997234
0.88333333,-0.00181522,-1.35596571,-0.17676998,-0.00604784,0.03023904,0.00233823,-0.20875265,0.01020699,0.00031476,-39.31044148,-0.09764983,0.41296999,1.32666997,0.97108690,6.97982694
0.90000000,-0.00180469,-1.39445462,-0.17130479,-0.42817077,0.04170368,0.00366593,-0.44204523,0.01201094,0.00134486,-13.99755425,0.10824994,0.06180313,1.33440507,0.79545253,6.97982283
0.91666667,-0.00178868,-1.43066740,-0.16978528,-0.46477662,0.05267906,0.00420257,-0.03833309,0.01149742,0.00047239,24.22272839,-0.03074395,-0.05236835,1.33576588,0.26014809,6.97982220
0.93333333,-0.00180342,-1.46635305,-0.17078702,-0.22381567,0.06770711,0.00310391,0.25233251,0.01573015,-0.00124506,17.43993585,0.25396397,-0.10304693,1.33947310,-0.06506029,6.97982911
0.95000000,-0.00180384,-1.50202433,-0.17450490,0.01736090,0.08135167,0.00214887,0.25255821,0.01428674,-0.00102585,0.01354148,-0.08657805,0.01314958,1.33103872,-0.94229513,6.97980718
0.96666667,-0.00178479,-1.53768096,-0.18093912,0.25879522,0.09311097,0.00138192,0.25282820,0.01231622,-0.00077347,0.01619943,-0.11820716,0.01514061,1.31946594,-1.29459502,6.97980075
0.98333333,-0.00176345,-1.58030514,-0.17699315,-0.32338573,0.10101734,-0.00314319,-0.60966649,0.00827689,-0.00474337,-51.74968180,-0.24233940,-0.23819549,1.30397617,-1.54453565,6.97981509
1.00000000,-0.00174801,-1.61630165,-0.17507178,-0.23500820,0.10904379,-0.00281190,0.09254937,0.00840687,0.00030597,42.13295175,0.00790373,0.30289094,1.29294998,-1.48850902,6.97983119
